City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
346,havelock,34.8791,-76.9013,18.99,90,100,6.17,US
347,kamenka,51.3223,42.7678,-17.65,100,100,1.57,RU
348,tete,-16.1564,33.5867,23.94,96,100,0.85,MZ
349,bayanday,53.0661,105.5139,-10.3,92,100,4.8,RU
350,lagoa,39.05,-27.9833,15.36,70,100,5.89,PT
351,tuatapere,-46.1333,167.6833,19.82,57,13,2.17,NZ
352,winnemucca,40.973,-117.7357,4.27,35,62,1.57,US
353,bac lieu,9.285,105.7244,25.77,76,97,6.23,VN
354,altay,47.8667,88.1167,-12.86,49,0,3.94,CN
355,yago,21.8333,-105.0667,28.53,37,95,3.46,MX
356,los llanos de aridane,28.6585,-17.9182,15.86,84,0,4.12,ES
357,maniwaki,46.3834,-75.966,-9.79,57,93,3.6,CA
358,kuching,1.55,110.3333,26.68,84,20,1.03,MY
359,redlands,34.0556,-117.1825,18.26,22,0,0.0,US
360,wasilla,61.5814,-149.4394,-2.05,88,100,3.09,US
361,tucuman,-26.8241,-65.2226,14.0,77,75,2.57,AR
362,the hammocks,25.6715,-80.4445,24.45,88,100,2.57,US
363,mehamn,71.0357,27.8492,-2.03,86,0,3.6,NO
364,shimoda,34.6667,138.95,8.39,59,1,2.99,JP
365,singleton,-32.5667,151.1833,28.32,62,0,1.34,AU
366,fairbanks,64.8378,-147.7164,-14.11,80,20,0.0,US
367,norman wells,65.282,-126.8329,-30.98,69,0,1.03,CA
368,ukiah,39.1502,-123.2078,18.02,20,0,0.89,US
369,srednekolymsk,67.45,153.6833,-44.16,100,78,0.71,RU
370,chipinge,-20.1883,32.6236,19.05,95,100,3.28,ZW
371,oussouye,12.485,-16.5469,23.1,73,100,3.45,SN
372,kokstad,-30.5472,29.4241,14.65,99,93,0.7,ZA
373,dyersburg,36.0345,-89.3856,7.95,36,0,5.66,US
374,janakkala,60.9,24.6,0.45,96,100,6.09,FI
375,laramie,41.3114,-105.5911,6.41,35,0,7.72,US
376,cody,44.5263,-109.0565,5.36,33,0,5.66,US
377,boa vista,2.8197,-60.6733,29.99,51,20,4.63,BR
378,nouadhibou,20.931,-17.0347,16.99,63,0,9.26,MR
379,wanaka,-44.7,169.15,20.37,53,13,1.91,NZ
380,jumla,29.2747,82.1838,7.11,32,9,1.59,NP
381,shenzhen,22.5455,114.0683,19.35,80,59,2.1,CN
382,muisne,0.6,-80.0333,26.79,79,35,3.12,EC
383,clovis,36.8252,-119.7029,16.37,27,75,3.09,US
384,vanimo,-2.6741,141.3028,25.88,87,100,2.05,PG
385,morant bay,17.8815,-76.4093,27.62,77,6,4.59,JM
386,lahij,13.1667,44.5833,19.47,73,3,1.53,YE
387,krizevci,46.0219,16.5425,9.6,86,69,3.54,HR
388,lazaro cardenas,17.9583,-102.2,27.27,56,18,3.31,MX
389,umea,63.8284,20.2597,-0.04,93,100,2.57,SE
390,palu,-0.8917,119.8707,24.28,94,99,0.86,ID
391,sabha,27.0377,14.4283,11.45,49,98,6.08,LY
392,chipoka,-13.9933,34.5157,23.28,84,100,2.79,MW
393,albanel,48.8832,-72.4487,-13.92,56,73,3.09,CA
394,sechura,-5.5569,-80.8222,26.94,65,69,7.07,PE
395,kalmunai,7.4167,81.8167,24.18,88,68,3.63,LK
396,fortuna,40.5982,-124.1573,14.96,50,0,5.14,US
397,novyy urengoy,66.0833,76.6333,-9.71,90,100,3.95,RU
398,goderich,43.7501,-81.7165,-6.16,68,100,3.09,CA
